,availability_30,availability_60,availability_90,availability_365
981,0,0,0,0
982,0,2,32,307
983,30,60,90,365
990,0,0,0,0
991,0,2,32,307
993,4,34,64,338
999,27,57,87,87
1003,30,60,90,365
1005,13,17,17,17
1009,14,44,74,349
1013,0,0,0,0
1017,30,60,90,179
1019,11,34,64,338
1021,0,0,0,0
1023,0,0,0,0
1027,30,60,90,365
1028,0,0,0,0
1037,16,17,17,20
1038,0,0,0,0
1042,0,30,60,335
1047,0,24,30,303
1048,0,2,32,307
1062,21,21,21,83
1063,0,0,0,0
1068,0,0,0,0
1070,18,46,75,75
1071,0,0,0,0
1074,23,53,83,358
1079,18,48,78,353
1082,0,0,0,0
1084,2,2,2,220
1086,0,0,0,0
1088,30,60,90,179
1089,0,0,0,0
1098,0,0,0,0
1101,0,0,0,0
1108,2,6,21,296
1111,30,60,90,365
1116,0,0,0,0
1118,0,18,18,18
1119,0,0,0,89
1122,12,42,72,347
1124,2,7,7,7
1125,0,0,0,74
1127,10,10,10,10
1130,1,1,1,72
1136,0,2,32,307
1143,0,0,0,0
1153,27,57,87,87
1156,4,12,12,12
1157,0,0,0,0
1158,1,19,49,282
1165,0,0,0,0
1168,14,44,73,73
1169,0,0,0,0
1173,0,0,0,0
1174,0,0,0,0
1176,18,38,39,284
1178,0,0,0,0
1179,0,0,0,0
1182,19,38,38,196
1191,29,59,89,178
1193,0,5,18,18
1194,0,0,0,0
1195,0,0,0,0
1196,30,60,90,365
1200,30,60,90,365
1204,4,34,53,281
1206,19,49,79,79
1207,0,0,0,0
1208,0,0,0,186
1209,0,0,0,0
1211,0,0,0,0
1213,0,0,0,0
1219,8,38,68,157
1220,29,59,89,364
1221,0,0,0,0
1223,0,0,0,0
1224,0,0,0,0
1225,30,60,90,365
1228,24,54,84,359
1229,0,0,0,219
1231,28,58,88,363
1234,5,7,12,178
1239,0,0,0,127
1246,25,55,85,360
1249,12,12,42,42
1251,0,0,0,0
1259,0,0,0,0
1260,9,9,9,200
1261,7,33,61,328
1262,0,0,0,182
1264,1,29,59,334
1266,0,0,0,0
1268,0,0,0,0
1271,0,0,0,0
1273,0,0,0,0
1274,4,13,24,132
1276,0,0,27,302
1293,0,0,0,0
1294,0,0,0,0
1303,30,60,90,365
1306,29,59,89,364
1307,0,0,0,0
1311,0,0,0,0
1312,0,0,0,0
1320,0,0,0,0
1323,0,0,0,0
1325,0,0,0,0
1326,0,0,0,186
1327,0,0,0,0
1328,0,0,0,186
1329,0,0,0,0
1331,0,0,0,0
1332,0,0,0,105
1334,30,60,90,365
1339,0,0,0,0
1346,0,0,0,207
1347,30,32,32,94
1348,0,0,5,280
1349,0,0,0,0
1350,0,0,0,0
1352,4,34,34,87
1354,0,0,0,0
1355,27,55,84,84
1356,0,0,0,123
1358,0,0,0,0
