host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,accommodates,bedrooms,beds,minimum_nights,maximum_nights,has_availability,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,host_verifications_email,host_verifications_phone,host_verifications_work_email,room_type_Entire_home/apt,room_type_Hotel_room,room_type_Private_room,room_type_Shared_room,property_type_Entire_rental_unit,property_type_Private_room_in_rental_unit,property_type_Private_room_in_home,property_type_Entire_condo,property_type_Entire_home,bathrooms_shared,bathrooms_private,bathrooms_num,amenities_Air_conditioning,amenities_Bed_linens,amenities_Carbon_monoxide_alarm,amenities_Cooking_basics,amenities_Dedicated_workspace,amenities_Dishes_and_silverware,amenities_Essentials,amenities_Fire_extinguisher,amenities_First_aid_kit,amenities_Free_street_parking,amenities_Hair_dryer,amenities_Hangers,amenities_Heating,amenities_Hot_water,amenities_Iron,amenities_Kitchen,amenities_Long_term_stays_allowed,amenities_Microwave,amenities_Oven,amenities_Refrigerator,amenities_Self_check-in,amenities_Shampoo,amenities_Smoke_alarm,amenities_TV,amenities_Wifi,log_price
1845,1,100.0,100.0,1,200,202,1,1,40.72311,-73.99299,2,1.0,1.0,2,28,1,0,200,197,3,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1.0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,5.605802066295998
4560,1,100.0,100.0,0,1,3,1,1,40.67055,-73.98391,5,3.0,3.0,2,9,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2.0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,0,5.8289456176102075
2887,1,100.0,92.0,0,1,1,1,1,40.68634,-73.93292,4,1.0,1.0,1,90,1,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1.0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,1,5.081404364984463
2053,1,100.0,96.0,0,2,2,1,1,40.72464,-73.99372,1,1.0,1.0,30,1125,0,0,2,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.553876891600541
1158,1,100.0,98.0,1,1,2,1,1,40.81814,-73.9512,5,1.0,3.0,2,1125,1,1,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1.0,0,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,0,1,1,0,0,5.049856007249537
959,1,100.0,98.0,1,1,2,1,1,40.84065,-73.94231,5,2.0,2.0,3,365,1,0,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1.0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,1,0,1,1,1,5.488937726156687
4233,12,100.0,89.0,0,2,7,1,1,40.63685,-74.03614,2,1.0,2.0,30,366,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1.0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,4.31748811353631
4711,1,100.0,100.0,1,1,2,1,0,40.69058,-73.90518,2,1.0,1.0,5,88,1,1,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1.0,0,0,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1,1,0,1,4.499809670330265
342,1,90.0,97.0,1,3,3,1,1,40.69096,-73.93712,5,2.0,3.0,3,28,1,0,3,3,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,5.1647859739235145
3613,1,100.0,83.0,1,4,4,1,1,40.69894,-73.93823,1,1.0,1.0,24,62,1,0,3,0,3,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1.5,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,1,0,1,4.0943445622221
533,1,100.0,78.0,0,3,6,1,1,40.7623,-73.99923,2,1.0,1.0,2,365,1,0,3,3,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1.0,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,1,6.461468176353717
1787,1,100.0,96.0,0,4,4,1,1,40.67992,-73.88301,2,1.0,2.0,2,28,1,0,3,1,2,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1.0,1,0,1,1,0,1,1,0,0,1,1,0,0,1,1,1,1,1,0,0,1,0,1,0,1,4.59511985013459
3123,12,100.0,97.0,1,1,2,1,1,40.7261,-73.97964,8,4.0,6.0,3,1125,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,3.5,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,7.2682230211595655
3393,1,100.0,99.0,0,9,9,1,1,40.74782,-73.98698,4,1.0,2.0,1,28,1,0,9,9,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1.0,0,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,5.521460917862246
3886,1,100.0,77.0,1,1,1,1,1,40.71991,-74.00551,3,1.0,1.0,1,1125,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1.0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,5.733341276897746
2437,1,100.0,99.0,0,8,12,1,1,40.70042,-73.93065,2,1.0,1.0,1,365,1,1,8,2,6,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1.5,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,4.90527477843843
840,24,50.0,89.0,0,1,1,1,1,40.67597,-73.9387,2,1.0,1.0,2,10,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1.0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,1,4.634728988229636
2314,1,100.0,96.0,0,1,2,1,1,40.74063,-73.85864,2,1.0,1.0,30,30,1,0,1,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,1.0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3.912023005428146
2812,1,100.0,97.0,0,2,2,1,1,40.71508,-73.99896,2,1.0,1.0,2,1125,1,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1.0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,1,5.117993812416755
2803,1,100.0,96.0,0,1,2,1,0,40.70212,-73.92076,2,1.0,1.0,30,120,1,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1.0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,1,4.31748811353631
3793,1,100.0,96.0,0,2,2,1,0,40.66887,-73.95671,3,1.0,2.0,30,1125,1,0,2,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,4.8283137373023015
3260,1,100.0,96.0,0,1,2,1,1,40.77495,-73.95117,3,1.0,1.0,30,1125,1,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1.0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,4.8283137373023015
3276,1,100.0,98.0,0,3,4,1,1,40.59407,-73.95819,4,2.0,2.0,3,1125,1,0,3,1,2,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1.0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,4.882801922586371
2079,1,96.0,95.0,0,3,13,1,0,40.829361,-73.92363,3,1.0,2.0,1,1125,1,0,3,0,3,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1.0,1,1,1,0,1,0,1,1,1,0,1,0,0,1,0,0,1,1,0,0,1,1,1,0,1,4.553876891600541
2545,1,100.0,100.0,1,2,3,1,1,40.66479,-73.95439,1,1.0,1.0,2,1125,1,0,2,0,2,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1.0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,4.248495242049359
1022,12,80.0,54.0,0,10,14,1,1,40.8501,-73.90125,4,1.0,4.0,1,13,1,0,4,4,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1.0,1,0,1,1,0,1,0,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,5.857933154483459
1719,1,100.0,88.0,0,1,4,1,1,40.73575,-73.99313,4,1.0,2.0,3,28,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1.0,1,0,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,0,0,0,0,1,1,1,1,5.521460917862246
4107,1,100.0,100.0,1,1,3,1,1,40.57724,-73.9646,2,1.0,1.0,1,1125,1,1,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1.0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,5.638354669333745
1013,1,100.0,100.0,1,2,2,1,1,40.90394,-73.84917,4,1.0,2.0,3,1125,1,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1.0,0,0,1,0,1,1,0,1,1,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,4.605170185988092
4351,1,100.0,96.0,0,1,1,1,1,40.73092,-73.9856,2,1.0,1.0,2,31,1,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,4.795790545596741
2651,24,100.0,0.0,0,2,2,1,1,40.7634,-73.91139,1,1.0,1.0,25,1125,1,0,2,0,2,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1.0,1,0,0,1,0,1,1,0,0,1,1,0,1,1,0,0,1,1,0,1,0,1,1,0,1,4.02535169073515
234,24,90.0,90.0,0,1,1,1,1,40.579536,-73.849854,6,3.0,4.0,1,1125,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,2.0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,5.429345628954441
3250,1,100.0,92.0,1,4,4,1,1,40.68692,-73.97144,2,1.0,1.0,30,1125,1,0,4,4,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1.0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,5.579729825986222
4720,1,100.0,96.0,0,1,2,1,1,40.73682,-74.0007,2,1.0,1.0,30,1125,1,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,5.247024072160486
4165,12,100.0,20.0,0,2,2,1,1,40.70852,-73.96694,2,1.0,1.0,18,1125,1,0,2,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1.0,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,4.8283137373023015
2461,12,100.0,64.0,0,1,1,1,1,40.6431,-73.94375,8,4.0,4.0,7,1125,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1.0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,5.703782474656201
1230,1,100.0,100.0,0,3,6,1,1,40.67136,-73.94888,8,4.0,4.0,3,21,1,0,3,3,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,2.0,1,0,1,0,0,1,1,0,0,0,1,1,1,0,1,1,0,0,0,1,0,1,1,1,1,5.869296913133774
3718,24,82.0,32.0,0,6,9,1,1,40.72251,-73.98911,2,1.0,1.0,30,1125,1,0,6,6,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1.0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,4.700480365792417
1181,1,100.0,91.0,1,1,1,1,1,40.63452,-73.96537,2,1.0,2.0,5,1125,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1.0,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,5.0106352940962555
2343,1,100.0,92.0,0,1,1,1,0,40.57468,-73.85603,6,3.0,3.0,30,1125,1,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,2.0,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,5.298317366548036
2745,1,100.0,96.0,0,2,4,1,1,40.68337,-73.91805,4,1.0,2.0,3,30,1,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1.0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,4.787491742782046
102,1,100.0,100.0,0,1,1,1,1,40.71271,-73.75437,4,1.0,2.0,1,28,1,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1.0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,0,0,4.941642422609304
1488,1,98.0,100.0,0,9,15,1,1,40.76434,-73.88243,4,1.0,2.0,3,60,1,0,9,8,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1.0,0,0,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,4.997212273764115
