,availability_30,availability_60,availability_90,availability_365
465,0,0,0,0
466,14,44,74,254
467,0,0,0,0
468,18,48,78,353
469,0,0,0,0
470,6,36,66,246
471,3,33,63,90
473,0,0,0,247
474,29,59,89,364
476,6,36,66,246
477,0,0,0,55
478,0,0,28,28
480,0,0,0,0
482,0,0,0,0
483,0,3,33,308
484,9,39,54,309
487,0,0,0,0
489,0,0,0,0
490,0,0,0,0
491,18,48,78,353
492,0,0,0,0
493,0,0,28,265
494,12,42,72,347
495,0,0,0,157
496,0,0,0,0
498,19,49,79,79
500,8,9,39,39
502,1,1,1,1
504,2,2,2,2
506,2,32,62,337
509,0,0,0,108
512,0,0,0,0
513,0,0,0,33
515,3,33,62,62
516,17,28,28,28
517,15,15,15,16
518,0,0,0,0
520,25,55,85,360
521,0,0,0,3
525,21,51,80,80
526,3,33,63,338
527,30,60,90,365
528,0,0,0,20
530,1,17,24,24
531,2,31,49,272
532,3,33,63,338
533,3,33,63,338
538,0,0,0,0
539,7,37,65,326
540,4,25,33,62
541,0,0,0,0
542,4,31,61,241
545,9,39,69,344
546,30,60,90,365
547,27,57,87,177
548,0,21,45,117
551,0,0,0,0
554,1,1,10,69
555,30,60,90,365
556,19,49,79,349
557,30,58,60,308
558,1,1,1,1
559,0,25,55,144
560,7,22,30,99
561,30,60,90,365
562,0,0,0,0
563,8,8,8,256
564,0,1,31,306
565,0,0,0,208
569,0,0,0,0
570,2,10,14,38
571,0,0,0,65
572,3,30,60,192
573,0,0,0,0
574,16,18,20,175
580,2,32,62,337
581,3,33,63,312
583,24,42,53,53
585,0,0,23,298
586,20,50,80,285
589,0,21,33,203
591,0,0,0,188
592,5,17,21,78
593,18,18,18,267
594,9,39,66,341
595,12,42,72,161
596,3,3,3,97
597,2,32,62,337
598,8,38,68,96
599,12,42,72,347
600,2,32,62,337
601,2,2,2,60
602,0,0,0,0
603,6,10,11,112
605,0,0,0,0
606,0,0,0,0
608,30,60,90,365
610,3,33,63,338
611,10,39,69,69
615,0,8,8,8
616,1,3,7,191
617,15,45,75,182
619,19,49,79,168
620,30,60,90,365
621,3,12,15,148
623,13,43,69,69
624,30,60,90,365
625,0,0,0,2
626,27,57,87,362
627,30,60,90,365
628,0,0,0,0
629,0,0,0,0
630,7,28,58,148
633,0,12,32,265
634,0,0,0,0
635,0,0,0,31
637,0,0,0,0
640,1,1,22,294
641,0,0,0,0
642,0,0,0,0
644,0,0,0,0
647,0,0,0,249
648,9,9,9,70
649,0,0,0,0
651,0,0,0,0
652,6,20,29,107
653,0,0,0,0
655,6,6,11,80
657,0,10,20,95
658,9,38,68,343
659,0,0,0,179
660,0,0,0,0
661,0,0,0,0
663,0,19,49,138
664,0,0,0,0
667,0,0,0,0
668,0,0,0,0
670,3,32,32,32
671,0,0,0,0
672,1,31,40,307
673,0,0,0,0
675,30,60,90,365
676,1,21,31,193
677,16,46,75,75
678,15,45,74,74
679,0,0,0,0
680,0,0,3,278
681,0,0,0,0
682,0,0,0,0
683,0,0,0,248
684,3,10,21,118
685,0,3,4,34
686,0,26,56,331
687,30,60,90,118
688,2,15,27,27
690,0,0,0,0
694,0,0,0,0
695,3,33,63,338
696,0,0,0,0
698,0,0,0,0
700,0,0,0,0
701,5,5,5,5
702,1,6,7,7
703,30,60,90,341
704,0,0,0,0
705,2,28,58,179
706,4,23,53,328
708,0,0,0,0
709,0,0,0,164
711,1,2,2,2
713,5,5,5,5
714,1,5,35,92
715,30,60,90,365
718,0,0,4,93
719,30,60,86,118
720,0,0,0,0
721,0,0,0,0
722,0,0,0,0
723,4,11,12,33
725,0,0,0,0
727,0,0,0,0
730,1,1,4,4
732,30,60,90,365
734,0,10,22,111
735,19,31,31,31
736,0,30,60,117
737,0,0,0,186
738,0,0,0,0
739,0,0,0,0
740,17,17,17,17
742,0,0,0,247
747,4,34,64,64
748,0,0,0,0
749,10,28,40,40
751,20,50,56,331
755,7,31,61,151
756,0,0,0,0
758,3,23,42,61
759,5,18,48,160
760,1,1,1,1
761,30,60,90,365
762,0,0,0,0
763,29,57,86,350
767,0,21,51,326
769,6,27,53,273
770,25,55,85,360
772,0,0,0,187
775,5,19,45,237
776,0,0,0,0
781,0,0,0,0
782,1,19,48,75
783,13,43,73,221
785,4,11,12,12
786,0,19,24,75
787,0,0,0,0
788,0,0,0,0
789,4,34,58,309
791,0,0,0,100
792,0,0,0,0
793,7,37,67,342
794,0,0,0,0
795,17,47,77,166
796,0,0,0,0
801,1,30,60,335
802,3,27,57,57
803,27,57,87,362
805,0,0,0,0
806,19,47,47,47
807,27,57,87,362
808,1,28,58,333
809,0,0,0,0
810,5,5,5,156
811,0,0,0,92
815,13,43,72,72
816,24,54,84,359
817,4,30,30,30
818,0,0,0,0
